ObjectID,RGBPalette,NamePalette,BasicPalette,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
996,"[(174, 120, 47), (230, 231, 232), (229, 196, 148), (81, 30, 5), (111, 50, 4), (204, 172, 168)]","{'burlywood', 'peru', 'tan', 'saddlebrown', 'lavender', 'maroon'}","{'purple', 'brown'}","Architectural block from the Imperial Hotel, Tokyo",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1913–1923,Terracotta,"8 1/2 x 8 5/16 x 2 5/8"" (21.6 x 21.1 x 6.7 cm)",Gift of Barbara Pine,159.1993,Architecture,Architecture & Design,1993-05-04,Y,http://www.moma.org/collection/works/996,http://www.moma.org/media/W1siZiIsIjUyNzQ0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1eba13a25ae95a23,,6.6675,,21.59,,,21.1138,,
1013,"[(192, 160, 103), (234, 234, 232), (68, 42, 14), (115, 84, 27), (136, 108, 46), (232, 217, 173)]","{'linen', 'darkkhaki', 'saddlebrown', 'wheat', 'maroon', 'sienna'}","{'yellow', 'brown'}","Gwathmey Residence, Amagansett, New York",Charles Gwathmey,2424,"(American, 1938–2009)",(American),(1938),(2009),(Male),1965–1967,Cardboard and wood,"9 3/8 x 8 1/8 x 9 1/8"" (23.8 x 20.6 x 23.2 cm)",Gift of the architect,356.1993,Architecture,Architecture & Design,1993-11-04,Y,http://www.moma.org/collection/works/1013,http://www.moma.org/media/W1siZiIsIjIyOTM5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a4953a5d5e72195,,23.1775,,23.8125,,,20.6375,,
1955,"[(208, 178, 145), (247, 243, 242), (176, 152, 125), (224, 206, 187), (189, 156, 128), (235, 220, 195)]","{'tan', 'wheat', 'rosybrown', 'whitesmoke'}","{'brown', 'white'}",Drapery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(Female),c. 1935,"Cellophane, rayon, and cotton","126 x 32 1/2"" (320 x 82.5 cm)",Gift of the designer,450.1975,Design,Architecture & Design,,Y,http://www.moma.org/collection/works/1955,http://www.moma.org/media/W1siZiIsIjQ4ODg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=35cf822edbdc4dad,,,,,320.0,,82.5,,
2236,"[(181, 157, 100), (208, 190, 154), (162, 113, 13), (126, 67, 5), (122, 86, 16), (144, 106, 46)]","{'darkgoldenrod', 'tan', 'darkkhaki', 'saddlebrown', 'sienna'}","{'yellow', 'brown'}",Fabric,Reiko Sudo,7045,"(Japanese, born 1953)",(Japanese),(1953),(0),(Female),c. 1994,Polyester,"236 1/4 x 33"" (600.1 x 83.8 cm)",Gift of the manufacturer,126.1996,Design,Architecture & Design,1996-04-09,Y,http://www.moma.org/collection/works/2236,http://www.moma.org/media/W1siZiIsIjUyNzM5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=febe5f9211fe26ee,,,,,600.0762,,83.8,,
2572,"[(79, 60, 30), (232, 233, 234), (125, 77, 32), (175, 136, 100), (152, 162, 142), (202, 164, 135)]","{'darkolivegreen', 'darkseagreen', 'tan', 'saddlebrown', 'lavender', 'rosybrown'}","{'brown', 'purple', 'green'}",Side Chair,"William Katavolos, Ross Littell, Douglas Kelley","3013, 3570, 3044","(American, 1924 – 2020) (American, 1924–2000) (American, born 1928)",(American) (American) (American),(1924) (1924) (1928),(2020) (2000) (0),(Male) (Male) (Male),1952,"Chrome-plated steel, enameled steel, and leather","32 x 23 x 22 7/8"" (81.3 x 58.4 x 58.1 cm)",Gift of the manufacturer,151.1958,Design,Architecture & Design,1958-12-04,Y,http://www.moma.org/collection/works/2572,http://www.moma.org/media/W1siZiIsIjIyODQxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de9c40100d0a5f28,,58.1026,,81.2802,,,58.4201,,
2614,"[(68, 203, 134), (86, 231, 165), (78, 228, 155), (92, 200, 134), (113, 237, 180), (35, 192, 105)]","{'mediumaquamarine', 'mediumseagreen'}",{'green'},Kitchen Pail,Gino Colombini,1194,"(Italian, born 1915)",(Italian),(1915),(0),(Male),1957,Polyethylene,"10 1/2 x 11"" (26.7 x 27.9 cm)",Gift of the manufacturer,200.1958,Design,Architecture & Design,1958-12-04,Y,http://www.moma.org/collection/works/2614,http://www.moma.org/media/W1siZiIsIjIyODcyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8575d34dbe5acb30,,,27.9,26.7,,,,,
2932,"[(195, 155, 46), (68, 60, 33), (236, 211, 165), (101, 86, 26), (131, 105, 26), (250, 210, 83)]","{'darkolivegreen', 'goldenrod', 'wheat', 'sandybrown', 'olive'}","{'brown', 'green'}",Ashtray,Sergio Asti,30,"(Italian, born 1926)",(Italian),(1926),(0),(Male),1964,Glass,"1 1/2 x 9"" (3.8 x 22.8 cm)",Gift of the designer,236.1965,Design,Architecture & Design,1965-04-06,Y,http://www.moma.org/collection/works/2932,http://www.moma.org/media/W1siZiIsIjIyODkzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ff55a74780c7cea4,,,22.8,3.8,,,,,
2983,"[(234, 229, 232), (242, 131, 25), (199, 66, 15), (232, 149, 103), (249, 206, 88), (204, 148, 148)]","{'darkorange', 'lavender', 'darksalmon', 'sandybrown', 'firebrick', 'rosybrown'}","{'red', 'brown', 'orange', 'purple'}",Flores Box,Enzo Mari,3766,"(Italian, 1932 – 2020)",(Italian),(1932),(2020),(Male),1991,Thermoplastic polymer,"3 x 12 1/4 x 6"" (7.6 x 31.1 x 15.2 cm)",Gift of the manufacturer,241.1998,Design,Architecture & Design,1998-04-22,Y,http://www.moma.org/collection/works/2983,http://www.moma.org/media/W1siZiIsIjIxMDg1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60a04110c8cd4fc4,,15.24,,7.62,,,31.1151,,
3469,"[(165, 139, 108), (78, 57, 32), (226, 207, 176), (233, 216, 190), (103, 78, 42), (82, 79, 56)]","{'darkolivegreen', 'wheat', 'rosybrown'}","{'green', 'brown'}",Construction with Newspaper and Plastic Wall Hanging,Ed Rossbach,5032,"(American, 1914–2002)",(American),(1914),(2002),(Male),1968,"Polyethylene film, twine, and newsprint","30 x 40"" (76.2 x 101.6 cm)",Gift of the designer,371.1985,Design,Architecture & Design,1985-11-18,Y,http://www.moma.org/collection/works/3469,http://www.moma.org/media/W1siZiIsIjQ3NzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6df45784a035d4b2,,,,76.2,,,101.6,,
3691,"[(173, 156, 111), (234, 229, 214), (103, 86, 48), (228, 217, 173), (114, 101, 59), (127, 104, 51)]","{'palegoldenrod', 'darkolivegreen', 'antiquewhite', 'darkkhaki', 'sienna'}","{'yellow', 'green', 'brown'}",Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(Female),After 1933,Linen,"9 3/8 x 7 7/8"" (23.8 x 20 cm)",Gift of Josef Albers,450.1970.71,Design,Architecture & Design,1970-11-05,Y,http://www.moma.org/collection/works/3691,http://www.moma.org/media/W1siZiIsIjIxMTM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a9480002a1274df0,,,,,23.8125,,20.0025,,
3778,"[(178, 155, 100), (233, 232, 217), (228, 217, 171), (206, 195, 158), (121, 97, 48), (132, 99, 52)]","{'palegoldenrod', 'darkolivegreen', 'antiquewhite', 'tan', 'darkkhaki', 'sienna'}","{'yellow', 'green', 'brown'}",Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(Female),c. 1951,Linen and metallic thread,"9 3/4 x 6 1/2"" (24.8 x 16.5 cm)",Gift of Josef Albers,450.1970.73,Design,Architecture & Design,1970-11-05,Y,http://www.moma.org/collection/works/3778,http://www.moma.org/media/W1siZiIsIjMzNjAxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=477568be434d4169,,,,,24.765,,16.5,,
4544,"[(139, 85, 68), (239, 240, 239), (182, 156, 126), (189, 172, 140), (168, 133, 106), (204, 164, 140)]","{'tan', 'whitesmoke', 'rosybrown', 'sienna'}","{'brown', 'white'}","Squares, Blobs, Speckles",Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),(1889),(1980),(Female),c. 1940,Printed cotton,"89 x 46"" (226 x 116.8 cm)",Gift of the designer,911.1942,Design,Architecture & Design,1942-01-01,Y,http://www.moma.org/collection/works/4544,http://www.moma.org/media/W1siZiIsIjQ0NDUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=56d95e0317833211,,,,,226.0,,116.8,,
5159,"[(197, 168, 96), (83, 47, 19), (230, 236, 234), (144, 102, 34), (183, 142, 16), (91, 84, 41)]","{'darkolivegreen', 'darkgoldenrod', 'darkkhaki', 'saddlebrown', 'lavender', 'sienna'}","{'yellow', 'purple', 'green', 'brown'}",Chelovek s Kinoapparatom,"Vladimir Stenberg, Georgii Stenberg","5642, 6965","(Russian, 1899–1982) (Russian, 1900–1933)",(Russian) (Russian),(1899) (1900),(1982) (1933),(Male) (Male),1929,Lithograph,"39 1/2 x 27 1/4"" (100.5 x 69.2 cm)",Arthur Drexler Fund and purchase,128.1992,Design,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/5159,http://www.moma.org/media/W1siZiIsIjUyNzM5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dbf82db68063e9f7,,,,100.5,,,69.2,,
5224,"[(202, 182, 92), (250, 60, 69), (243, 240, 235), (209, 120, 75), (106, 125, 71), (237, 213, 152)]","{'darkolivegreen', 'peru', 'linen', 'darkkhaki', 'khaki', 'tomato'}","{'yellow', 'green', 'brown', 'orange'}",Love,David Holzman,2716,"(American, 1943–2017)",(American),(1943),(2017),(Male),1967,Silkscreen,"23 x 15 1/2"" (58.4 x 39.3 cm)",Gift of Joseph H. Heil,143.1968,Design,Architecture & Design,1968-03-07,Y,http://www.moma.org/collection/works/5224,http://www.moma.org/media/W1siZiIsIjM0MDk5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=126f34345dff2c2c,,,,58.4,,,39.3,,
5412,"[(157, 119, 15), (124, 52, 14), (220, 194, 163), (216, 138, 50), (94, 128, 16), (228, 180, 100)]","{'darkgoldenrod', 'peru', 'olivedrab', 'tan', 'saddlebrown', 'sandybrown'}","{'green', 'brown'}",Hawaii Pop Rock Festival,Victor Moscoso,4117,"(American, born Spain 1936)",(American),(1936),(0),(Male),1967,Offset lithograph,"20 1/4 x 14"" (51.4 x 35.5 cm)",Gift of the designer,162.1968,Design,Architecture & Design,1968-03-07,Y,http://www.moma.org/collection/works/5412,http://www.moma.org/media/W1siZiIsIjIxMDUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4e90387aa1f891c7,,,,51.4,,,35.5,,
5424,"[(234, 97, 6), (50, 93, 161), (165, 60, 144), (237, 233, 228), (194, 33, 121), (104, 180, 196)]","{'mediumaquamarine', 'darkslateblue', 'linen', 'chocolate', 'mediumvioletred'}","{'green', 'purple', 'brown', 'pink'}",Sopwith Camel,Victor Moscoso,4117,"(American, born Spain 1936)",(American),(1936),(0),(Male),1967,Offset lithograph,"19 7/8 x 14"" (50.5 x 35.5 cm)",Gift of the designer,164.1968,Design,Architecture & Design,1968-03-07,Y,http://www.moma.org/collection/works/5424,http://www.moma.org/media/W1siZiIsIjMzOTQ1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21381aaf83a4a46f,,,,50.5,,,35.5,,
5472,"[(185, 156, 119), (99, 91, 66), (239, 231, 218), (131, 97, 71), (152, 113, 67), (228, 212, 180)]","{'darkolivegreen', 'antiquewhite', 'wheat', 'rosybrown', 'sienna'}","{'green', 'brown'}","Salon des Cent, Exposition de l'œuvre de A. Mucha",Alphonse Mucha,4136,"(Czech, born Moravia (then Austria). 1860–1939)",(Czech),(1860),(1939),(Male),1897,Lithograph,,Gift of Ludwig Charell,171.1956,Design,Architecture & Design,1956-03-19,Y,http://www.moma.org/collection/works/5472,http://www.moma.org/media/W1siZiIsIjM5ODIwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58c2bc4da3073e77,,,,,,,,,
5475,"[(23, 118, 150), (241, 100, 51), (142, 178, 80), (137, 124, 42), (161, 197, 102), (111, 168, 207)]","{'cornflowerblue', 'olivedrab', 'darkkhaki', 'darkcyan', 'yellowgreen', 'tomato'}","{'yellow', 'green', 'blue', 'orange'}","The Yardbirds, The Doors",Bonnie Maclean,8394,"(American, 1949–2020)",(American),(1949),(2020),(Female),1967,Offset lithograph,"21 1/4 x  14"" ( 54 x  35.5 cm)",Purchase,171.1993,Design,Architecture & Design,1993-05-04,Y,http://www.moma.org/collection/works/5475,http://www.moma.org/media/W1siZiIsIjUyNzQ1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f8c24b89c2e3e13b,,,,54.0,,,35.5,,
5703,"[(199, 169, 114), (84, 76, 49), (237, 227, 204), (137, 113, 50), (119, 89, 50), (240, 220, 167)]","{'palegoldenrod', 'darkolivegreen', 'antiquewhite', 'darkkhaki', 'sienna'}","{'yellow', 'green', 'brown'}",La Dépêche de Toulouse,Maurice Denis,1492,"(French, 1870–1943)",(French),(1870),(1943),(Male),1892,Lithograph,"54 1/2 x 37 1/2"" (138.4 x 95.2 cm)",Acquired by exchange,212.1968,Design,Architecture & Design,1968-03-07,Y,http://www.moma.org/collection/works/5703,http://www.moma.org/media/W1siZiIsIjUxOTY0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ad1f6bff6fddcfca,,,,138.4,,,95.2,,
